Year,NINO_34,EastAsiaSurfacePressure,NorthAtlantaicSurfcePressure,NorthAtlanticOcean_SST,EQ_WIN,AO_oct,PDO_Jun,North_central_Pacific_zonal_Wind,SOI_Jun,SEI_Ocean_SST,ISMR
1950,0.365675,-0.3864386777,-2.54659335088889,0.572334284313725,-0.195579597948718,-0.21291,-2.293911,-9.59564013076924,2,0.039907630769231,876.9
1951,1.09016166666667,-0.15703682828,-1.70414543564444,-0.359634117647059,-1.00350255584615,-0.43717,-1.466423,-8.20184896,0.2,-0.908400061538462,738.8
1952,-0.150831856666667,1.8457622488,-2.88036747777778,0.585409764705882,-1.73978482384615,-0.19446,-1.982165,-8.98500973384616,0.7,-0.672092369230769,792.9
1953,0.347131333333333,1.4011601781,-2.24348191502222,-0.393404833333333,-1.66960501469231,0.51257,-0.2262855,-9.01881131538462,0.1,-0.672323138461539,922.9
1954,-1.08094666666667,1.7553642802,-0.979263447022222,0.021049107843137,0.699659882820513,0.099053,0.475692,-8.47427060923077,0.1,0.012830707692308,885.3
1955,-0.035487,-0.3468342234,-0.693477851888889,-0.144877990196079,0.394283927076923,1.1392,-2.321445,-9.25290080615385,1.3,-0.142707753846154,930
1956,0.621018666666667,1.0415642324,5.50517937333333,-0.052367166666667,-1.58481874084615,0.90314,-2.209162,-8.95850378923077,1.1,-0.384553907692308,983.2
1957,1.020695,2.7141594564,1.33940925644444,0.471007882352941,1.85497621982051,0.77009,1.51922,-8.22607713230769,0.2,-0.393092369230769,788.5
1958,-0.839211666666667,-1.07343209488,1.69873949288889,-0.436871029411765,0.651847484102564,-0.24905,1.917255,-8.81485590769231,0.3,0.174523015384615,889.3
1959,-0.238765533333333,1.2891655612,-1.0519278314,0.27794544117647,0.89055698948718,-1.187,0.3147438,-8.50396320923077,-0.1,0.194984553846154,944.1
1960,0.170831,-1.5478388375,-1.94747904133333,-0.176252254901961,-0.457459897179487,0.20308,1.134301,-8.60885141076923,0.1,-0.053938523076923,839.7
1961,0.044872433333333,-0.4832355718,-3.11837205333333,0.052627892156863,-0.947742293435898,-0.015827,-0.3867535,-8.67502007230769,0.1,0.074446092307692,1020.2
1962,-0.014661333333333,-2.426233604,1.57496290217778,0.280168696078431,-1.60833175153846,1.0692,-1.822891,-7.91856840769231,0.7,-0.155246215384616,809.8
1963,0.677098233333333,-0.15663521914,5.72873483066667,-0.07482274509804,-1.31587867194872,0.34171,-0.6980855,-8.08104482615385,-0.5,-0.089784676923077,857.9
1964,-1.40206533333333,4.1887663462,-0.157039869422222,-0.598649578431372,0.315129776,0.39367,-0.7462875,-7.02155638769231,0.8,0.020830707692307,922.5
1965,0.781791666666667,-0.0232392228,0.259629523866667,0.047026745098039,0.921565548974359,-1.0766,-0.7982135,-6.79217648461539,-0.6,-0.329092369230769,709.4
1966,-0.713408666666667,-3.1502387426,3.22473503288889,0.143082676470588,-0.444289106,1.2986,0.1272033,-6.6831741,0.3,-0.0928616,739.9
1967,-0.111486,-0.32924143288,-0.229039641622222,-0.449403980392157,-0.659844786410257,-1.0132,-1.087013,-7.72059353538462,0.6,-0.403169292307692,860.1
1968,0.131685333333333,-0.5754328336,0.904295042311111,0.230745382352941,0.161651205897436,0.097581,0.04851035,-6.50667784923077,1.1,-0.583707753846154,754.6
1969,-0.427165333333333,1.7165593538,-2.13770937251111,-0.376877823529412,1.12702680666667,0.09818,1.259139,-8.23469732307693,0.2,-0.044784676923077,831
1970,-0.380319033333333,1.1239568218,1.13629645377778,-0.560761745098039,2.1606593925641,1.1847,-0.1184442,-8.48047909076923,1,0.060984553846154,939.8
1971,0.447334666666667,0.76296561252,-0.574140558777778,-0.10204562745098,-0.331690804871795,0.39177,-2.086168,-8.28377937538462,0.4,-0.224553907692308,886.8
