year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
1854,27.82,28,28.18,28.42,28.71,29,29.21,29.36,29.5,29.56,29.48,27.6,27.79,28,28.27,28.59,28.93,29.21,29.45,29.68,29.84,29.82,27.09,27.29,27.54,27.85,28.24,28.64,29.01,29.35,29.69,29.93,29.97,26.29,26.46,26.74,27.1,27.54,28.03,28.54,29.04,29.54,29.89,29.99,25.34,25.44,25.69,26.08,26.59,27.21,27.92,28.61,29.28,29.75,29.95,24.38,24.42,24.62,24.96,25.5,26.23,27.09,27.93,28.84,29.47
1855,27.74,27.86,27.99,28.14,28.33,28.52,28.69,28.83,29.02,29.19,29.32,27.29,27.45,27.62,27.8,28.03,28.28,28.5,28.71,29,29.26,29.43,26.66,26.82,27.02,27.24,27.52,27.82,28.1,28.38,28.76,29.13,29.36,25.85,25.94,26.14,26.38,26.7,27.06,27.46,27.88,28.37,28.86,29.16,24.96,24.96,25.11,25.34,25.68,26.14,26.7,27.31,27.92,28.54,28.97,24.08,24.03,24.11,24.29,24.64,25.18,25.85,26.59,27.45,28.2
1856,28.61,28.63,28.66,28.68,28.74,28.81,28.85,28.87,28.92,28.96,28.89,28.19,28.28,28.36,28.44,28.56,28.71,28.82,28.91,29.03,29.14,29.12,27.57,27.7,27.85,28.01,28.22,28.43,28.62,28.78,28.99,29.16,29.19,26.73,26.87,27.09,27.32,27.6,27.91,28.23,28.53,28.84,29.11,29.17,25.76,25.89,26.12,26.43,26.79,27.24,27.75,28.24,28.68,29.02,29.15,24.73,24.87,25.12,25.48,25.94,26.52,27.18,27.8,28.44,28.89
1857,28.19,28.23,28.28,28.34,28.44,28.55,28.65,28.74,28.92,29.07,29.2,27.75,27.84,27.94,28.05,28.21,28.39,28.55,28.7,28.96,29.19,29.35,27.12,27.22,27.39,27.58,27.82,28.07,28.29,28.52,28.84,29.16,29.34,26.27,26.35,26.57,26.83,27.14,27.49,27.84,28.21,28.63,29.04,29.25,25.26,25.32,25.56,25.88,26.27,26.76,27.3,27.86,28.39,28.89,29.18,24.19,24.27,24.52,24.89,25.37,26,26.69,27.37,28.09,28.7
1858,27.97,28.01,28,28.02,28.07,28.12,28.15,28.19,28.28,28.36,28.41,27.42,27.48,27.53,27.59,27.7,27.83,27.94,28.06,28.27,28.48,28.62,26.62,26.67,26.77,26.9,27.08,27.29,27.49,27.72,28.04,28.36,28.6,25.58,25.59,25.7,25.87,26.12,26.43,26.78,27.18,27.64,28.1,28.43,24.46,24.39,24.48,24.65,24.95,25.39,25.93,26.54,27.17,27.77,28.24,23.36,23.25,23.29,23.48,23.81,24.33,25.01,25.76,26.66,27.41
1859,28.74,28.78,28.78,28.79,28.83,28.9,28.98,29.08,29.24,29.42,29.58,28.12,28.25,28.34,28.45,28.61,28.81,29,29.21,29.51,29.77,30,27.33,27.49,27.67,27.89,28.17,28.48,28.8,29.13,29.56,29.91,30.23,26.35,26.5,26.72,27,27.38,27.83,28.31,28.83,29.41,29.93,30.3,25.24,25.35,25.57,25.89,26.34,26.93,27.63,28.39,29.14,29.85,30.29,24.13,24.17,24.36,24.7,25.2,25.9,26.77,27.69,28.76,29.62
1860,28.28,28.36,28.45,28.53,28.63,28.71,28.76,28.8,28.87,28.91,28.94,27.88,28.01,28.15,28.28,28.45,28.62,28.75,28.86,29.02,29.15,29.24,27.27,27.42,27.6,27.81,28.05,28.31,28.53,28.74,29,29.21,29.34,26.43,26.57,26.78,27.03,27.34,27.7,28.06,28.44,28.84,29.16,29.32,25.45,25.54,25.76,26.04,26.43,26.9,27.47,28.05,28.6,29.04,29.29,24.47,24.49,24.66,24.98,25.44,26.03,26.74,27.47,28.27,28.86
1861,28.61,28.83,29.03,29.17,29.29,29.33,29.32,29.27,29.25,29.22,29.17,28.22,28.46,28.68,28.83,28.98,29.08,29.12,29.13,29.2,29.27,29.28,27.57,27.81,28.03,28.21,28.39,28.53,28.62,28.73,28.88,29.04,29.15,26.71,26.9,27.09,27.27,27.46,27.67,27.87,28.11,28.4,28.67,28.88,25.68,25.79,25.95,26.11,26.32,26.62,26.99,27.43,27.91,28.35,28.66,24.69,24.66,24.73,24.89,25.11,25.47,26,26.63,27.41,27.98
1862,28.11,28.05,28,27.93,27.87,27.81,27.73,27.65,27.63,27.61,27.59,27.7,27.67,27.65,27.6,27.58,27.55,27.5,27.46,27.49,27.53,27.54,27.07,27.06,27.06,27.06,27.09,27.1,27.1,27.11,27.19,27.29,27.35,26.26,26.24,26.26,26.29,26.35,26.44,26.54,26.67,26.84,27,27.1,25.33,25.29,25.3,25.36,25.48,25.69,25.97,26.27,26.56,26.82,26.96,24.36,24.31,24.34,24.44,24.63,24.95,25.4,25.85,26.32,26.62
1863,28.58,28.66,28.68,28.7,28.74,28.74,28.7,28.66,28.67,28.68,28.69,28.43,28.55,28.62,28.68,28.77,28.83,28.85,28.85,28.91,28.97,28.99,27.97,28.14,28.3,28.44,28.6,28.74,28.82,28.89,29,29.1,29.14,27.22,27.41,27.64,27.88,28.13,28.37,28.59,28.79,29,29.14,29.19,26.25,26.44,26.73,27.06,27.42,27.81,28.25,28.67,28.99,29.21,29.25,25.26,25.44,25.75,26.14,26.61,27.15,27.75,28.35,28.91,29.19
