YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Anomaly
1949,12.6,28.8,24.1,53,89.3,164.3,316.8,243.2,227,95.1,10.6,4.7,1269.6,41.4,166.4,951.3,110.5,77.68
1950,35.4,25.4,36.7,28.7,49.4,135.7,331.6,235.6,202.6,57.7,27.5,7.9,1174.2,60.8,114.8,905.5,93.1,31.88
1951,15.7,12.1,44.4,54.4,59.4,163.3,252.7,222.8,124.6,73.9,31.3,5.8,1060.6,27.8,158.3,763.4,111.1,-110.22
1952,10.5,19.8,37.4,32.4,69.7,165.6,286.6,256.6,120,79.6,9.2,22.5,1110.1,30.3,139.5,828.9,111.3,-44.72
1953,30.2,10.6,25.3,38.3,47.1,162.2,323.1,299.2,179.9,85.8,12.3,8,1222.1,40.8,110.7,964.4,106.1,90.78
1954,37.6,37.2,17.1,22.8,53.9,145.5,297.2,232,246.7,73.8,3.6,13.9,1181.4,74.9,93.9,921.3,91.3,47.68
1955,20.8,4.1,21.3,30.6,72.6,177.7,236.8,313.8,215.7,146.3,26.4,9.3,1275.4,24.9,124.5,944,182,70.38
1956,17,11.1,31.5,28.1,85.5,211,354.1,254.3,163.9,150.1,44,11.9,1362.6,28.1,145,983.3,206.1,109.68
1957,31.1,10.9,24.2,39.5,71.2,153.2,300.8,265.4,131.7,64,28.6,11.3,1131.9,42,134.9,851.1,103.8,-22.52
1958,12.4,16.5,19.1,36.9,80.5,123.7,316.9,324.9,225.7,114.7,30,10.9,1312.3,28.9,136.5,991.3,155.7,117.68
1959,31.8,23.8,21.3,25.9,75.3,169.8,375.5,265.1,237.3,119.7,26,5.3,1376.9,55.6,122.6,1047.7,151.1,174.08
1960,13.8,2.7,35.2,20,57.7,157.3,320,252.9,184.7,68.5,33.7,8.3,1154.8,16.5,112.8,914.9,110.5,41.28
1961,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2,178.38
1962,12.6,21.6,16,43.6,70.8,137.1,281.6,276.9,211,78.4,18.3,29.9,1198,34.3,130.4,906.6,126.7,32.98
1963,6.8,9.8,41.7,50.6,60.9,168,258.6,316.7,164.9,99.1,28.4,15.5,1220.9,16.6,153.1,908.2,142.9,34.58
1964,18.6,14.1,19,40,52.1,177.2,345.7,273.7,200.4,67.4,22.8,13.3,1244.4,32.7,111.1,997,103.5,123.38
1965,11.8,28.1,26.7,45.1,52.7,116.1,270.1,192.8,129.5,34,18.2,22.2,947.4,39.9,124.6,708.5,74.4,-165.12
1966,13.1,25.4,20.3,30.6,57.2,178.8,252.5,212.5,143.9,56.1,51,16.7,1058,38.5,108,787.8,123.7,-85.82
1967,11.1,14.2,63.3,29.5,42.8,144,305.6,264.3,170.3,40.6,12.1,56.1,1154,25.3,135.6,884.2,108.9,10.58
1968,29.4,19.8,27.5,32.6,46.7,149.6,309.9,212.8,129.5,67.1,21.8,12.6,1059.3,49.2,106.8,801.7,101.6,-71.92
1969,12.7,14.5,20.1,39.7,63.4,130.2,317.8,273.4,172.7,55,35.8,12.7,1147.8,27.2,123.1,894,103.4,20.38
1970,23.2,27.3,25.9,29.2,69.7,215.9,245.6,313,212.7,75.3,15.7,1.6,1255,50.5,124.8,987.1,92.6,113.48
1971,16.1,23.6,10.8,52.8,75,229.9,267.2,267.3,146.5,99.9,15.9,12,1216.9,39.7,138.6,910.8,127.8,37.18
1972,10.3,27.6,21.6,37.1,55.3,123.3,204,219.5,127.5,65.7,31.4,23.7,947.1,37.8,114,674.3,120.9,-199.32
1973,21,21.8,21.2,27.5,56.5,149.9,277.4,311,182.1,114.6,18.9,17.7,1219.5,42.8,105.2,920.3,151.2,46.68
1974,16.1,12.9,20.5,33.7,64.2,122,283.6,232.5,145.3,101.6,10.7,12.1,1055.3,29.1,118.4,783.4,124.4,-90.22
1975,15.4,20.8,28.7,28.3,50.2,175.6,310.7,292.5,224.6,121.9,22.8,3.3,1294.8,36.1,107.3,1003.4,148,129.78
1976,11.5,24.5,25.5,36.3,45.4,160.3,294.1,294,144.2,33,55,7.6,1131.6,36,107.3,892.7,95.6,19.08
1977,21,10.2,14.6,68.3,84.4,187.2,323.4,245.4,147.8,85.6,65.8,16.1,1269.7,31.2,167.3,903.8,167.4,30.18
1978,12.3,27,44.2,33.1,60.2,208.8,290,282,161.9,49.1,49.9,18.8,1237.2,39.3,137.4,942.7,117.8,69.08
1979,20.9,35,28.9,21.2,54.2,140.5,239.6,210.6,136.8,51.8,76.1,14.4,1030.2,55.9,104.3,727.6,142.4,-146.02
1980,12.8,22.3,32.5,34.6,55.3,227.8,295,263.8,145.7,49.3,24.2,19,1182.3,35.1,122.5,932.4,92.4,58.78
1981,29.3,20.4,48,37.3,67.1,151.3,309.1,237,184.5,45.1,27.4,14,1170.7,49.7,152.4,882,86.6,8.38
1982,23.8,24.2,45.7,49.8,59,137.8,230.8,276.9,124.9,51.7,46,13.9,1084.4,48,154.5,770.4,111.5,-103.22
